;Varianza_aX;Varianza_aY;Varianza_aZ;Kurtosis_aX;Kurtosis_aY;Kurtosis_aZ;Clase
26;27446,23333;12185,95556;345512,6667;-0,033191533;2,397438233;1,393953707;0
27;29608,93333;28477,95556;204981,1556;0,261760634;3,730303137;-0,869480693;0
28;18269,37778;32819,34444;261438,4;0,050315022;8,636545098;3,207575864;0
29;11151,77778;125860,6222;283928,3222;0,904908026;2,849656015;0,388656826;0
30;19158,72222;34343,34444;318273,2889;2,385900575;0,200351513;-0,629749461;0
31;18088,76667;109144,8444;279710,9889;-2,026016185;0,400925148;0,19251561;0
32;10145,33333;71477,15556;368082,2333;1,266653088;6,88998547;-0,043924166;0
33;1740,988889;500,3222222;4307,333333;-0,163615997;1,587915221;5,16340908;0
34;104,2666667;47,83333333;224,5444444;-0,904762703;0,620840365;-0,130745544;0
35;108935,5667;10058,76667;9719,388889;3,957290435;0,556053613;1,638032034;1
36;185224,4;52334,4;16383,56667;0,262249904;-1,290774483;0,087541196;1
37;170593,6;49982,1;20475,12222;1,219886552;0,796331647;0,086149121;1
38;240382,3222;154584,6222;33615,87778;3,370844704;4,872185033;0,309006385;1
39;183731,3889;96392,01111;37514,4;3,872767293;-1,191021837;0,310520494;1
40;146331,1111;62325,06667;39287,43333;1,648827528;0,5403322;2,605581427;1
41;220471,7333;83761,43333;57726,4;2,815239901;-1,100463988;0,361797036;1
42;240133,5667;50789,95556;33801,21111;0,015298388;0,746234443;0,424426365;1
43;303128,3222;62987,34444;27686,62222;-0,734037523;1,20363419;-0,557989123;1
44;258154,2333;38178,48889;52598,48889;-0,552233023;-1,409752117;-0,214444706;1
45;216449,3889;56975,06667;52948,5;0,056810733;0,217895579;0,095448452;1
46;299263,8222;64285,65556;25698,62222;1,057926829;0,204931394;-0,84204952;1
47;222390,4889;56872,4;47087,06667;0,504215337;-0,481444068;0,7749433;1
48;180898,6222;39479,61111;36334,72222;0,007496344;-0,727924987;0,259365037;1
49;173620,7667;49791,11111;28188,45556;0,885436286;-1,536800211;0,821626814;1
50;237082,9333;70790,67778;26250,01111;-0,922061166;0,406831426;1,48368913;1
51;245880,9333;70270,93333;34745,78889;-0,961840443;1,234492296;0,930975203;1
52;154660,1778;116457,0667;45163,77778;2,57030021;-1,827635967;0,758850257;1
53;377337,7889;73309,15556;48582,45556;-0,532860991;-1,490731333;-1,180562932;1
54;139280,4889;93333,38889;31144,66667;-0,268270477;4,233668403;0,291760877;1
55;398374,7222;90270,72222;26881,12222;-0,152256084;-1,888388045;-1,121598366;1
56;256916;70015,82222;14469,43333;-0,970359326;-1,868773196;-0,034420595;1
57;209641,6111;74755,21111;39003,95556;1,001969271;-1,240465735;-1,630792496;1
58;272735,1222;99901,65556;33068,01111;3,98785064;-0,634584384;0,608297898;1
59;190720,2667;76039,87778;32995,55556;-0,085944379;-1,706236068;-0,135457656;1
60;298586,6222;87151,28889;33248,93333;-0,086953268;-0,815823062;-0,370107945;1
61;341322,5;81155,34444;82542,93333;-1,406872522;-0,432632593;0,442955633;1
62;217817,6556;87740;47670,05556;-0,132504053;-1,874818302;-1,325953387;1
63;380644,7111;95503,43333;12232,76667;5,804062519;-0,028596336;-1,591407525;1
64;133763,2111;26367,95556;6999,155556;-0,725291977;-1,629229789;-1,061045472;1
65;134113,6556;17035,38889;27073,34444;3,564689132;-1,142557151;-0,157324422;1
66;225624,6222;76711,06667;63310,04444;-1,176852727;-0,929452934;1,72459673;1
67;139245,9556;33113,56667;17923,16667;6,580256908;2,477709829;3,579769391;1
68;272472,9444;63815,28889;26767,38889;2,671207857;-1,577267474;-1,616517393;1
69;300469,0667;40212,22222;74434,67778;-1,217820578;-1,965351658;-0,99618682;1
70;241913,7889;57230,32222;42817,43333;-0,037953438;-0,459144703;-0,576746956;1
71;293716,4444;15289,65556;7868,944444;2,518741431;-1,381561507;1,941314845;1
72;834,2777778;1724,9;1285,733333;-0,525622976;-1,322510912;1,808639958;2
73;515160,6222;17628,71111;48086,5;1,837621354;-0,984755263;2,507216834;2
74;321962;43684,5;23327,82222;-0,748485171;5,769559797;1,890113999;2
75;570041,7333;25766,94444;46157,65556;2,000507544;0,513084569;-0,753998768;2
76;223025,8222;37185,34444;11835,28889;-0,331948461;1,408611482;-1,265633866;2
77;250014,9333;26958,54444;13049,78889;-1,089716152;5,179889203;-0,289647424;2
78;364643,5111;35684,98889;41085,82222;1,757130127;-0,801892117;-0,569852894;2
79;302556,7111;12308;38565,55556;3,514445148;-0,747696739;-0,22291268;2
80;213675,7333;42264;37596,17778;-0,699604947;3,244031882;1,152478947;2
81;188668,0556;16908,22222;21051,37778;-1,451245875;4,968512144;-0,14170062;2
82;368009,1222;16052,22222;30775,65556;2,983980603;-0,41589503;-0,978832408;2
83;300656,8444;45508,76667;18107,65556;1,019154578;1,867270361;0,545333314;2
84;233913,4333;7567,111111;13667,83333;-0,627936484;-0,513926049;-0,874034648;2
85;186543,5111;11326,4;11376,04444;-1,050604127;-0,130102751;4,741460238;2
86;441288,5;13161,55556;27814,84444;-0,992391416;-0,34606931;0,568683641;2
87;191253,8222;38102;10451,78889;0,939833516;2,767180464;2,766977049;2
88;253542,9889;4782,455556;8556,444444;-0,350184896;-0,336304294;-1,119099892;2
89;159381,6556;35800,76667;14916,71111;0,549386321;1,543955308;0,266550921;2
90;707671,0667;21193,34444;49521,56667;2,218569988;-0,459434982;1,6803594;2
91;244329,4333;18225,16667;9915,122222;1,126445435;-1,494349178;2,659264338;2
